monthly_income,monthly_expenses,monthly_emi,cash_flow_surplus,debt_to_income,average_balance,minimum_balance_ratio,income_stability,expense_volatility,transaction_regularity,negative_cashflow_months,income_trend_3m,utility_payment_consistency,digital_transaction_ratio,savings_rate,failed_payment_count,non_debt_recurring_obligations,existing_debt_amount,credit_history_available,credit_history_length,default_probability_ground_truth,default_risk
42700.48,27793.04,0.0,14907.44,0.0,79498.6,0.3704,0.892,0.129,0.825,0,0.1186,0.882,0.924,0.3491,0,3249.63,0.0,0,0,0.1271,0
24258.22,15380.05,2500.0,6378.17,0.1031,37670.08,0.5189,0.889,0.14,0.822,0,0.005,0.92,0.952,0.2629,0,4411.76,30000.0,0,0,0.4319,1
77731.99,39510.84,3000.0,35221.15,0.0386,202972.47,0.6032,0.975,0.096,0.927,0,0.0596,0.937,0.767,0.4531,0,8028.65,45000.0,0,0,0.0016,0
39056.14,24920.89,1500.0,12635.26,0.0384,68514.89,0.3985,0.886,0.133,0.813,0,-0.1372,0.867,0.951,0.3235,0,4247.8,18000.0,0,0,0.356,0
62590.0,30332.9,0.0,32257.1,0.0,186788.33,0.6441,0.975,0.094,0.932,0,0.0504,0.94,0.774,0.5154,0,7388.7,0.0,0,0,0.0015,0
40135.58,25602.63,0.0,14532.95,0.0,74110.97,0.4382,0.9,0.131,0.895,0,0.0476,0.905,0.832,0.3621,0,3822.29,0.0,0,0,0.113,0
66456.51,33324.26,0.0,33132.26,0.0,200351.71,0.7824,0.973,0.087,0.933,0,0.063,0.929,0.895,0.4986,0,5700.03,0.0,1,4,0.0005,0
62124.28,29531.89,0.0,32592.39,0.0,190467.46,0.7038,0.973,0.085,0.956,0,0.0601,0.955,0.79,0.5246,0,5084.83,0.0,1,10,0.0008,0
38706.27,24705.83,2500.0,11500.44,0.0646,63305.2,0.4219,0.897,0.136,0.83,0,-0.0495,0.925,0.842,0.2971,0,3276.9,30000.0,0,0,0.3389,0
78034.31,39754.53,0.0,38279.78,0.0,218425.97,0.5885,0.974,0.089,0.931,0,0.0561,0.925,0.848,0.4906,1,5422.24,0.0,1,9,0.0015,0
73898.7,46223.84,8000.0,19674.86,0.1083,91438.65,0.3876,0.88,0.144,0.908,0,0.2014,0.903,0.841,0.2662,1,10489.7,144000.0,0,0,0.2722,0
80690.33,50706.13,12000.0,17984.2,0.1487,86923.61,0.3782,0.857,0.168,0.84,0,0.3438,0.87,0.851,0.2229,0,8354.7,216000.0,1,22,0.3157,0
37508.48,23286.96,2500.0,11721.52,0.0667,59580.07,0.3298,0.893,0.143,0.913,0,0.0884,0.864,0.888,0.3125,0,4011.95,30000.0,0,0,0.3181,0
70980.6,45495.3,12000.0,13485.31,0.1691,70324.72,0.3088,0.866,0.185,0.87,0,0.2546,0.868,0.722,0.19,1,7332.03,216000.0,0,0,0.8337,1
61734.33,31677.14,0.0,30057.19,0.0,189061.17,0.8423,0.971,0.098,0.97,0,0.0684,0.945,0.872,0.4869,0,6958.11,0.0,0,0,0.0006,0
60109.81,29870.54,3000.0,27239.27,0.0499,173963.4,0.8417,0.969,0.1,0.94,0,0.0681,0.976,0.815,0.4532,0,8301.65,45000.0,1,9,0.0016,0
104003.06,65721.82,8000.0,30281.25,0.0769,130173.55,0.2862,0.863,0.172,0.853,0,0.2475,0.845,0.804,0.2912,0,6601.11,144000.0,1,23,0.1205,0
26719.47,20456.81,16000.0,-9737.34,0.5988,695.77,0.0187,0.918,0.109,0.6,24,-0.1933,0.666,0.668,0.0,1,6239.32,384000.0,1,25,1.0,1
25128.48,15823.4,0.0,9305.08,0.0,56637.8,0.7435,0.898,0.136,0.809,0,-0.0674,0.906,0.859,0.3703,0,3596.59,0.0,0,0,0.1487,0
84681.4,50808.98,12000.0,21872.42,0.1417,100818.82,0.2927,0.831,0.215,0.897,0,0.3418,0.844,0.844,0.2583,1,10638.9,216000.0,1,9,0.6533,1
30734.38,19873.1,2500.0,8361.28,0.0813,46080.63,0.4182,0.902,0.128,0.886,0,-0.0835,0.926,0.91,0.272,0,4492.49,30000.0,0,0,0.3586,1
124536.73,77337.1,4000.0,43199.64,0.0321,188136.25,0.3701,0.822,0.2,0.829,0,0.3233,0.824,0.838,0.3469,0,9526.65,72000.0,1,7,0.0271,0
42339.2,27129.02,1500.0,13710.18,0.0354,71584.41,0.373,0.869,0.168,0.91,0,-0.1792,0.945,0.822,0.3238,0,3178.81,18000.0,0,0,0.4174,0
46257.59,29690.04,0.0,16567.56,0.0,78929.59,0.2862,0.903,0.135,0.891,0,-0.0417,0.931,0.874,0.3582,0,3747.98,0.0,0,0,0.151,0
38584.94,24709.04,3500.0,10375.9,0.0907,57216.81,0.3956,0.885,0.138,0.81,0,-0.0147,0.979,0.877,0.2689,0,3767.86,42000.0,0,0,0.3841,0
36316.88,27897.73,12000.0,-3580.85,0.3304,570.68,0.0138,0.915,0.124,0.613,24,-0.1944,0.548,0.552,0.0,3,6881.56,288000.0,1,10,1.0,1
27025.45,20372.0,12000.0,-5346.55,0.444,676.94,0.0185,0.918,0.099,0.645,24,-0.1839,0.771,0.612,0.0,2,6796.42,288000.0,1,14,1.0,1
67935.95,34626.45,3000.0,30309.5,0.0442,183099.12,0.6424,0.974,0.097,0.954,0,0.0448,0.95,0.802,0.4461,0,7336.99,45000.0,0,0,0.0021,0
45740.99,28715.2,0.0,17025.8,0.0,83108.54,0.3121,0.884,0.115,0.847,0,0.0675,0.921,0.831,0.3722,0,3544.26,0.0,0,0,0.1197,0
65453.08,32437.59,0.0,33015.49,0.0,194598.24,0.6752,0.974,0.089,0.922,0,0.0371,0.963,0.783,0.5044,1,8165.46,0.0,1,5,0.0024,0
46351.84,29376.07,0.0,16975.77,0.0,84094.2,0.3528,0.911,0.107,0.808,0,-0.0575,0.867,0.917,0.3662,0,3061.67,0.0,0,0,0.1281,0
56683.26,27822.93,0.0,28860.33,0.0,185505.43,0.9466,0.97,0.087,0.903,0,0.0519,0.946,0.905,0.5092,0,6168.19,0.0,0,0,0.0006,0
50162.91,31613.32,8000.0,10549.59,0.1595,56083.94,0.4344,0.872,0.145,0.948,0,0.3152,0.892,0.738,0.2103,0,6158.64,144000.0,0,0,0.3547,0
77828.75,38708.31,3000.0,36120.44,0.0385,209081.37,0.5599,0.972,0.095,0.915,0,0.0534,0.98,0.917,0.4641,0,7056.79,45000.0,1,12,0.0009,1
40525.58,25909.66,1500.0,13115.91,0.037,72915.19,0.5023,0.891,0.123,0.85,0,0.1662,0.935,0.871,0.3236,0,3748.27,18000.0,0,0,0.0925,0
67693.26,42607.94,4000.0,21085.32,0.0591,110447.47,0.5628,0.833,0.213,0.945,0,0.4032,0.861,0.828,0.3115,0,11789.94,72000.0,0,0,0.1039,0
68662.26,34908.51,0.0,33753.75,0.0,206106.69,0.7438,0.97,0.099,0.933,0,0.0507,0.927,0.765,0.4916,0,6530.99,0.0,0,0,0.0009,0
31250.82,20059.28,2500.0,8691.54,0.08,54032.51,0.6414,0.904,0.11,0.863,0,-0.0593,0.94,0.934,0.2781,0,3612.73,30000.0,0,0,0.145,1
103194.36,63546.38,8000.0,31647.98,0.0775,140147.28,0.2823,0.828,0.188,0.904,0,0.2971,0.898,0.844,0.3067,1,9386.78,144000.0,1,14,0.1791,1
43025.88,26904.42,0.0,16121.46,0.0,81480.89,0.3879,0.896,0.124,0.821,0,-0.0978,0.971,0.846,0.3747,0,4835.0,0.0,0,0,0.1398,0
60743.23,36284.12,4000.0,20459.11,0.0659,96547.65,0.4391,0.825,0.197,0.84,0,0.3182,0.877,0.848,0.3368,0,9897.31,72000.0,0,0,0.2379,0
34571.04,21634.42,1500.0,11436.62,0.0434,65184.48,0.5517,0.893,0.142,0.818,0,-0.0024,0.854,0.882,0.3308,0,4181.91,18000.0,0,0,0.2728,0
21291.67,16233.91,20000.0,-14942.24,0.9393,500.0,0.0235,0.915,0.127,0.617,24,-0.1581,0.61,0.647,0.0,3,4041.96,480000.0,1,15,1.0,1
40402.44,30025.06,12000.0,-1622.62,0.297,1299.51,0.0124,0.917,0.108,0.564,18,-0.1919,0.652,0.691,0.0,2,5379.95,288000.0,1,29,1.0,1
43025.48,27208.15,0.0,15817.33,0.0,75640.26,0.3394,0.882,0.119,0.935,0,0.0051,0.935,0.839,0.3676,0,4370.56,0.0,0,0,0.1074,1
109229.49,66587.26,16000.0,26642.23,0.1465,119724.16,0.3076,0.888,0.157,0.881,0,0.2109,0.925,0.89,0.2439,1,8540.41,288000.0,0,0,0.2137,0
64660.77,31133.4,0.0,33527.37,0.0,201573.85,0.7387,0.976,0.091,0.929,0,0.0337,0.98,0.821,0.5185,0,5933.02,0.0,0,0,0.0006,0
25914.64,16236.25,2500.0,7178.39,0.0965,44326.98,0.5762,0.889,0.137,0.814,0,-0.053,0.974,0.832,0.277,0,4936.51,30000.0,0,0,0.3933,0
81213.71,50059.88,12000.0,19153.83,0.1478,90382.06,0.337,0.865,0.182,0.83,0,0.2591,0.95,0.733,0.2358,0,10215.81,216000.0,0,0,0.3928,0
107861.42,67853.84,4000.0,36007.58,0.0371,154010.63,0.3493,0.833,0.167,0.85,0,0.209,0.899,0.885,0.3338,0,6978.4,72000.0,1,16,0.0333,0
35130.43,22580.21,0.0,12550.22,0.0,71284.23,0.5581,0.903,0.123,0.935,0,-0.0403,0.864,0.826,0.3572,0,4139.54,0.0,0,0,0.108,0
43004.5,27370.26,0.0,15634.24,0.0,80208.4,0.374,0.89,0.138,0.842,0,-0.1305,0.862,0.85,0.3635,1,4098.26,0.0,0,0,0.469,1
47018.36,30400.74,0.0,16617.62,0.0,86151.66,0.4306,0.893,0.136,0.883,0,0.0411,0.915,0.958,0.3534,0,4303.7,0.0,0,0,0.0761,0
41689.65,26284.19,1500.0,13905.46,0.036,77959.8,0.4535,0.886,0.13,0.81,0,-0.1529,0.977,0.852,0.3335,0,4161.29,18000.0,0,0,0.2267,0
37150.34,23672.64,2500.0,10977.7,0.0673,62626.99,0.4629,0.898,0.14,0.901,0,-0.0852,0.949,0.941,0.2955,0,4762.48,30000.0,0,0,0.2251,0
34483.24,21366.01,1500.0,11617.22,0.0435,62374.18,0.5252,0.895,0.116,0.918,0,0.1607,0.962,0.913,0.3369,0,4723.07,18000.0,0,0,0.0621,0
59741.86,30491.68,3000.0,26250.18,0.0502,157320.75,0.6216,0.976,0.087,0.953,0,0.067,0.927,0.814,0.4394,0,8959.78,45000.0,0,0,0.0037,0
46240.12,29362.75,2500.0,14377.37,0.0541,78687.57,0.4224,0.906,0.099,0.93,0,-0.1181,0.954,0.957,0.3109,0,4265.56,30000.0,0,0,0.0835,0
15873.96,12143.55,16000.0,-12269.59,1.0079,543.96,0.0315,0.9,0.104,0.599,24,-0.1975,0.527,0.648,0.0,2,6560.06,384000.0,1,29,1.0,1
43467.82,28089.14,1500.0,13878.69,0.0345,68766.31,0.3139,0.894,0.149,0.877,0,-0.0279,0.963,0.865,0.3193,0,3785.9,18000.0,0,0,0.255,1
36097.8,23674.66,2500.0,9923.14,0.0693,54115.51,0.3978,0.888,0.136,0.871,0,-0.0866,0.881,0.865,0.2749,0,3590.43,30000.0,0,0,0.4512,0
38547.27,24670.93,0.0,13876.34,0.0,73910.27,0.4784,0.886,0.154,0.923,0,0.2701,0.959,0.84,0.36,0,4216.94,0.0,0,0,0.0643,0
44721.44,29049.31,0.0,15672.13,0.0,84993.33,0.4526,0.901,0.09,0.923,0,-0.1273,0.871,0.943,0.3504,0,4372.86,0.0,0,0,0.0642,0
62429.8,31388.52,0.0,31041.28,0.0,185215.4,0.7223,0.968,0.094,0.956,0,0.0545,0.987,0.894,0.4972,0,6701.26,0.0,0,0,0.0007,0
26719.29,20273.94,20000.0,-13554.65,0.7485,612.52,0.0187,0.921,0.099,0.735,24,-0.1575,0.7,0.601,0.0,1,4412.82,480000.0,0,0,1.0,1
73317.4,35754.32,0.0,37563.08,0.0,223244.7,0.6957,0.974,0.091,0.934,0,0.0579,0.978,0.82,0.5123,0,5735.65,0.0,0,0,0.0004,0
35047.51,26514.17,12000.0,-3466.66,0.3424,1615.89,0.0143,0.927,0.087,0.677,22,-0.1386,0.716,0.707,0.0,1,6155.6,288000.0,1,22,0.9999,1
76213.9,37055.28,0.0,39158.62,0.0,237448.39,0.7631,0.973,0.105,0.935,0,0.0597,0.931,0.909,0.5138,0,7621.77,0.0,1,6,0.0003,0
41029.51,25705.65,3500.0,11823.86,0.0853,60900.17,0.3064,0.894,0.121,0.887,0,0.0943,0.869,0.835,0.2882,0,4828.19,42000.0,0,0,0.3319,1
31831.73,24246.14,8000.0,-414.41,0.2513,1643.88,0.0157,0.925,0.095,0.741,13,-0.1303,0.733,0.725,0.0,1,5335.91,192000.0,0,0,0.999,1
46513.28,22900.76,6000.0,17612.52,0.129,123598.1,0.9074,0.972,0.103,0.944,0,0.0468,0.983,0.877,0.3787,0,8467.77,90000.0,0,0,0.0071,0
39211.6,25260.45,0.0,13951.15,0.0,71082.31,0.3563,0.886,0.149,0.884,0,0.0265,0.968,0.889,0.3558,0,3012.64,0.0,0,0,0.1559,0
42855.38,28160.73,0.0,14694.65,0.0,81722.94,0.4919,0.898,0.118,0.879,0,-0.1242,0.934,0.871,0.3429,0,4555.92,0.0,0,0,0.1003,0
36567.8,23649.51,0.0,12918.29,0.0,71584.41,0.5369,0.879,0.15,0.928,0,-0.0798,0.904,0.949,0.3533,0,4697.86,0.0,0,0,0.1345,0
28380.57,21623.83,16000.0,-9243.26,0.5638,706.94,0.0176,0.912,0.093,0.629,24,-0.1328,0.758,0.744,0.0,2,6177.47,384000.0,1,35,1.0,1
25677.79,19279.84,8000.0,-1602.05,0.3116,2258.29,0.0195,0.909,0.103,0.596,21,-0.1982,0.771,0.61,0.0,1,6858.87,192000.0,0,0,0.9999,1
34629.96,22109.9,1500.0,11020.06,0.0433,54530.18,0.3294,0.886,0.133,0.858,0,0.092,0.871,0.849,0.3182,0,4813.68,18000.0,0,0,0.3457,1
63708.19,32995.36,3000.0,27712.82,0.0471,169624.53,0.6846,0.974,0.089,0.953,0,0.0469,0.997,0.853,0.435,0,6688.19,45000.0,0,0,0.0017,0
27844.66,21094.41,12000.0,-5249.74,0.431,782.08,0.018,0.91,0.107,0.629,24,-0.182,0.707,0.628,0.0,4,5038.45,288000.0,1,24,1.0,1
33981.65,21579.91,1500.0,10901.74,0.0441,56974.59,0.3604,0.888,0.142,0.867,0,0.1222,0.852,0.888,0.3208,0,3728.94,18000.0,0,0,0.3194,1
26261.88,16800.1,1500.0,7961.78,0.0571,50287.62,0.6929,0.888,0.125,0.874,0,-0.139,0.98,0.913,0.3032,1,3007.0,18000.0,0,0,0.3138,0
67566.73,33850.37,0.0,33716.36,0.0,200806.15,0.6873,0.974,0.093,0.966,0,0.0547,0.953,0.84,0.499,0,5396.94,0.0,0,0,0.0007,0
28580.41,22173.32,8000.0,-1592.92,0.2799,2406.04,0.0175,0.913,0.117,0.727,21,-0.1879,0.585,0.696,0.0,3,5137.08,192000.0,1,23,1.0,1
29129.53,22261.65,12000.0,-5132.12,0.412,836.14,0.0172,0.925,0.107,0.695,24,-0.156,0.685,0.636,0.0,3,6718.5,288000.0,1,6,1.0,1
40241.94,25484.5,3500.0,11257.44,0.087,60483.31,0.3714,0.884,0.126,0.801,0,-0.1581,0.914,0.873,0.2797,0,4708.51,42000.0,0,0,0.5102,1
27831.9,17968.13,0.0,9863.76,0.0,53097.79,0.4531,0.889,0.125,0.851,0,-0.0445,0.954,0.952,0.3544,0,3782.84,0.0,0,0,0.1643,0
80737.05,50838.66,16000.0,13898.4,0.1982,81018.0,0.4122,0.829,0.184,0.949,0,0.4134,0.85,0.807,0.1721,0,11991.6,288000.0,0,0,0.4723,0
22159.99,16749.15,12000.0,-6589.15,0.5415,592.86,0.0226,0.901,0.125,0.614,24,-0.1997,0.631,0.659,0.0,3,5877.59,288000.0,1,31,1.0,1
36455.85,22991.97,1500.0,11963.88,0.0411,61857.44,0.379,0.89,0.136,0.929,0,0.0698,0.93,0.857,0.3282,0,4900.42,18000.0,0,0,0.1866,0
38445.32,29541.41,12000.0,-3096.09,0.3121,716.56,0.013,0.915,0.112,0.74,22,-0.1875,0.635,0.61,0.0,1,5151.55,288000.0,0,0,1.0,1
32689.45,20298.9,1500.0,10890.56,0.0459,63294.34,0.5809,0.916,0.099,0.938,0,-0.068,0.957,0.89,0.3332,0,3705.47,18000.0,0,0,0.0685,0
91435.19,56748.83,8000.0,26686.36,0.0875,123740.15,0.3371,0.849,0.198,0.822,0,0.2138,0.863,0.789,0.2919,0,8357.51,144000.0,0,0,0.2592,0
88272.01,44651.22,6000.0,37620.8,0.068,227609.28,0.6104,0.974,0.092,0.952,0,0.0491,0.969,0.815,0.4262,0,7949.0,90000.0,0,0,0.0008,0
79585.48,38840.64,3000.0,37744.84,0.0377,222454.07,0.7005,0.977,0.09,0.935,0,0.0355,0.946,0.751,0.4743,0,8895.99,45000.0,1,7,0.0007,0
78567.08,40215.48,3000.0,35351.6,0.0382,210934.6,0.6325,0.974,0.094,0.936,0,0.0538,0.964,0.792,0.45,0,6794.94,45000.0,0,0,0.001,0
101613.61,65073.24,16000.0,20540.37,0.1575,94595.48,0.238,0.828,0.228,0.909,0,0.1558,0.91,0.767,0.2021,1,6110.51,288000.0,0,0,0.8388,0
16274.54,12612.69,20000.0,-16338.15,1.2289,502.55,0.0307,0.919,0.095,0.77,24,-0.1682,0.66,0.681,0.0,2,6156.75,480000.0,0,0,1.0,1
39854.23,25694.78,2500.0,11659.45,0.0627,65237.15,0.4702,0.886,0.13,0.931,0,-0.0142,0.975,0.956,0.2926,0,3489.96,30000.0,0,0,0.1295,0
35564.98,22560.51,0.0,13004.47,0.0,67528.13,0.4138,0.894,0.108,0.824,0,-0.0796,0.976,0.945,0.3657,0,3313.07,0.0,0,0,0.1126,0
40658.82,25552.96,0.0,15105.86,0.0,74271.3,0.3352,0.898,0.139,0.92,0,-0.1211,0.895,0.887,0.3715,0,4184.67,0.0,0,0,0.1992,1
29087.13,18959.85,1500.0,8627.28,0.0516,52734.96,0.6031,0.894,0.14,0.809,0,-0.028,0.966,0.887,0.2966,0,3172.61,18000.0,0,0,0.2327,0
74208.8,36731.04,0.0,37477.75,0.0,221725.29,0.726,0.972,0.09,0.961,0,0.0316,0.978,0.861,0.505,0,5070.95,0.0,0,0,0.0003,0
51973.44,25336.89,0.0,26636.55,0.0,168124.25,0.8484,0.973,0.105,0.933,0,0.0464,0.988,0.793,0.5125,0,8031.88,0.0,0,0,0.0013,0
99067.66,61443.44,8000.0,29624.22,0.0808,125282.94,0.2678,0.86,0.161,0.892,0,0.3015,0.949,0.749,0.299,0,6866.28,144000.0,0,0,0.0699,0
51701.18,26291.56,0.0,25409.62,0.0,161331.2,0.8876,0.971,0.09,0.969,0,0.069,0.927,0.914,0.4915,0,6009.29,0.0,0,0,0.0009,0
68983.39,34470.78,3000.0,31512.61,0.0435,198429.19,0.7765,0.971,0.102,0.959,0,0.0585,0.991,0.787,0.4568,0,8572.24,45000.0,1,1,0.001,0
103094.03,63033.35,4000.0,36060.68,0.0388,159881.74,0.4042,0.843,0.192,0.919,0,0.3081,0.929,0.746,0.3498,2,6963.13,72000.0,0,0,0.1259,0
67152.02,33621.26,3000.0,30530.75,0.0447,180202.76,0.5846,0.974,0.102,0.949,0,0.0555,0.941,0.873,0.4547,0,7106.79,45000.0,1,2,0.0024,0
32710.68,20724.47,1500.0,10486.21,0.0459,60169.49,0.5223,0.897,0.133,0.893,0,-0.0539,0.92,0.863,0.3206,1,4552.41,18000.0,0,0,0.3815,1
50119.88,32119.65,1500.0,16500.23,0.0299,84105.31,0.383,0.892,0.151,0.873,0,-0.0655,0.922,0.82,0.3292,0,3879.23,18000.0,0,0,0.2278,0
47150.53,23952.88,0.0,23197.66,0.0,142940.54,0.7945,0.968,0.091,0.909,0,0.0596,0.93,0.756,0.492,0,7494.51,0.0,0,0,0.0034,0
105600.69,66998.38,8000.0,30602.31,0.0758,130359.33,0.2665,0.828,0.173,0.894,0,0.5,0.955,0.882,0.2898,0,9586.44,144000.0,1,4,0.0375,0
70626.09,35705.51,0.0,34920.57,0.0,196018.81,0.5684,0.977,0.075,0.967,0,0.0268,0.927,0.8,0.4944,0,7322.34,0.0,1,13,0.0009,0
35294.73,22058.03,1500.0,11736.7,0.0425,60464.3,0.3761,0.904,0.103,0.844,0,-0.03,0.896,0.868,0.3325,0,3962.93,18000.0,0,0,0.2212,1
24431.44,15175.73,0.0,9255.71,0.0,48984.24,0.5015,0.876,0.163,0.859,0,0.1824,0.87,0.85,0.3788,0,3301.86,0.0,0,0,0.2621,1
49982.36,31088.37,3500.0,15393.99,0.07,76355.32,0.3415,0.89,0.114,0.821,0,-0.0053,0.883,0.891,0.308,0,3735.14,42000.0,0,0,0.2492,0
66260.88,33533.48,3000.0,29727.4,0.0453,189788.61,0.7697,0.97,0.109,0.907,0,0.0517,0.99,0.822,0.4486,0,8898.16,45000.0,1,11,0.0016,0
32311.82,20217.2,1500.0,10594.62,0.0464,56404.57,0.4623,0.896,0.131,0.842,0,0.0133,0.892,0.849,0.3279,1,3844.71,18000.0,0,0,0.4774,0
55368.56,34447.09,8000.0,12921.47,0.1445,74079.61,0.5277,0.853,0.134,0.877,0,0.4268,0.954,0.769,0.2334,0,9543.33,144000.0,0,0,0.1463,0
39924.67,19749.42,6000.0,14175.25,0.1503,110102.32,1.1545,0.97,0.089,0.97,0,0.0507,0.956,0.853,0.355,0,8876.66,90000.0,0,0,0.0051,0
37048.88,28475.61,8000.0,573.27,0.2159,7698.29,0.1674,0.929,0.111,0.758,10,-0.1532,0.703,0.691,0.0155,2,4223.31,192000.0,1,25,0.9991,1
84402.53,44080.67,6000.0,34321.86,0.0711,203209.79,0.5567,0.969,0.1,0.903,0,0.0718,0.95,0.809,0.4066,0,6350.24,90000.0,1,5,0.0025,0
50465.69,38086.84,12000.0,378.85,0.2378,5961.08,0.0964,0.922,0.103,0.732,12,-0.1465,0.698,0.524,0.0075,1,4497.98,288000.0,1,35,0.9993,1
71013.41,34765.79,0.0,36247.62,0.0,214005.87,0.6764,0.975,0.066,0.97,0,0.063,0.961,0.759,0.5104,0,8576.75,0.0,0,0,0.0004,0
58072.33,28608.06,0.0,29464.27,0.0,177740.32,0.6864,0.978,0.101,0.976,0,0.0454,0.982,0.799,0.5074,0,8992.15,0.0,0,0,0.0012,0
70895.2,36036.52,0.0,34858.68,0.0,217972.09,0.8382,0.974,0.111,0.91,0,0.034,0.963,0.91,0.4917,0,5796.27,0.0,0,0,0.0004,0
42022.01,26799.98,1500.0,13722.03,0.0357,73239.03,0.3898,0.901,0.134,0.833,0,-0.0327,0.864,0.953,0.3265,0,4130.29,18000.0,0,0,0.236,0
35500.45,22528.94,0.0,12971.51,0.0,68747.06,0.4288,0.888,0.142,0.843,0,0.053,0.9,0.821,0.3654,0,3492.04,0.0,0,0,0.2063,1
38527.96,25029.92,0.0,13498.04,0.0,69344.39,0.3679,0.89,0.125,0.878,0,-0.0428,0.96,0.864,0.3503,0,4882.26,0.0,0,0,0.1492,0
25656.17,19583.29,16000.0,-9927.13,0.6236,539.12,0.0195,0.933,0.095,0.714,24,-0.1127,0.566,0.667,0.0,3,4260.17,384000.0,0,0,1.0,1
40759.42,25755.56,1500.0,13503.85,0.0368,74539.52,0.5137,0.908,0.122,0.892,0,-0.0747,0.878,0.824,0.3313,0,3596.09,18000.0,0,0,0.1612,0
25818.19,16475.43,2500.0,6842.76,0.0968,41385.03,0.5253,0.893,0.145,0.923,0,-0.0431,0.886,0.826,0.265,0,4707.51,30000.0,0,0,0.4545,1
33108.19,20790.65,1500.0,10817.54,0.0453,59065.22,0.4698,0.907,0.117,0.933,0,-0.0378,0.867,0.833,0.3267,0,3616.45,18000.0,0,0,0.2001,1
97051.29,58879.68,12000.0,26171.61,0.1236,128634.81,0.3914,0.897,0.163,0.91,0,0.158,0.922,0.749,0.2697,0,7176.6,216000.0,0,0,0.0982,0
72489.03,44134.41,8000.0,20354.62,0.1104,111704.14,0.587,0.855,0.143,0.945,0,0.2103,0.851,0.84,0.2808,0,6020.94,144000.0,0,0,0.0789,0
27204.92,17794.45,2500.0,6910.47,0.0919,38665.28,0.4192,0.898,0.147,0.912,0,-0.1061,0.971,0.85,0.254,0,4593.47,30000.0,0,0,0.4726,1
67016.44,33056.37,0.0,33960.06,0.0,200846.94,0.7001,0.977,0.096,0.937,0,0.0415,0.954,0.761,0.5067,0,5142.29,0.0,0,0,0.0009,0
71400.46,46398.68,8000.0,17001.78,0.112,81072.33,0.3354,0.886,0.127,0.848,0,0.2192,0.838,0.831,0.2381,1,9343.9,144000.0,1,16,0.4405,1
40405.4,25400.74,1500.0,13504.66,0.0371,72714.27,0.4075,0.892,0.147,0.903,0,-0.1009,0.963,0.878,0.3342,1,4132.74,18000.0,0,0,0.3864,0
103382.3,64712.28,4000.0,34670.02,0.0387,154416.02,0.3598,0.853,0.171,0.821,0,0.3596,0.91,0.821,0.3354,0,7446.18,72000.0,0,0,0.0279,0
45381.06,28748.01,0.0,16633.05,0.0,84798.38,0.3927,0.881,0.126,0.809,0,0.1075,0.969,0.911,0.3665,0,4519.88,0.0,0,0,0.0812,0
32736.79,20902.8,1500.0,10333.99,0.0458,60435.27,0.5658,0.877,0.145,0.933,0,0.0746,0.888,0.851,0.3157,0,3042.24,18000.0,0,0,0.187,1
65712.65,41652.06,8000.0,16060.59,0.1217,81354.24,0.4291,0.855,0.166,0.903,0,0.3443,0.859,0.863,0.2444,1,11976.77,144000.0,1,5,0.4188,1
38765.77,24586.94,2500.0,11678.83,0.0645,63488.12,0.4387,0.907,0.105,0.807,0,0.0772,0.86,0.89,0.3013,0,4108.86,30000.0,0,0,0.208,0
66750.4,33504.4,0.0,33246.0,0.0,204807.06,0.7795,0.975,0.1,0.964,0,0.0519,0.934,0.801,0.4981,0,6951.66,0.0,0,0,0.0007,0
73547.43,37565.46,3000.0,32981.97,0.0408,200550.72,0.6852,0.978,0.093,0.904,0,0.0339,0.957,0.879,0.4484,0,5757.21,45000.0,1,6,0.0011,0
103208.98,61982.13,4000.0,37226.85,0.0388,167446.14,0.3913,0.832,0.199,0.884,0,0.1537,0.959,0.89,0.3607,1,8649.46,72000.0,1,3,0.0647,0
127277.18,81501.65,12000.0,33775.53,0.0943,146281.81,0.2543,0.848,0.205,0.9,0,0.266,0.913,0.846,0.2654,0,10882.4,216000.0,0,0,0.0937,1
97223.44,61843.7,16000.0,19379.74,0.1646,93194.2,0.3589,0.851,0.152,0.82,0,0.4837,0.941,0.778,0.1993,0,11803.07,288000.0,1,9,0.1979,0
72889.08,35363.99,0.0,37525.09,0.0,223278.84,0.7148,0.972,0.083,0.92,0,0.0494,0.937,0.789,0.5148,0,6408.83,0.0,0,0,0.0005,0
43713.18,27622.16,0.0,16091.03,0.0,78922.14,0.3347,0.896,0.141,0.875,0,-0.0469,0.977,0.898,0.3681,0,3135.39,0.0,0,0,0.1308,0
22517.84,17194.99,8000.0,-2677.15,0.3553,1193.45,0.0222,0.915,0.09,0.654,24,-0.2112,0.693,0.629,0.0,2,6923.87,192000.0,1,17,1.0,1
48859.94,24671.65,3000.0,21188.28,0.0614,137906.3,0.839,0.977,0.082,0.96,0,0.0435,0.985,0.784,0.4337,0,6647.23,45000.0,1,7,0.0029,0
96004.1,57748.29,8000.0,30255.81,0.0833,138029.3,0.3849,0.828,0.163,0.902,0,0.3505,0.824,0.777,0.3152,0,11974.9,144000.0,1,11,0.0752,0
85707.82,42856.25,0.0,42851.57,0.0,244579.56,0.5959,0.974,0.088,0.913,0,0.0635,0.967,0.754,0.5,0,5825.6,0.0,1,5,0.0004,0
